Depth_ft,WOB_klbs,RPM,Torque_ftlbs,ROP_fthr,Flow_gpm,GR_API,MSE_kpsi
1605.9811272000002,13.589860551678182,84.0,259.9992423525399,137.1183326208,735.617857203216,,0.6247836526379085
1606.4798088,13.90985726812682,84.0,239.9993006331137,135.3683539008,735.617857203216,,0.5943878180824398
1606.9817712000001,11.93987748248988,84.0,229.9993297734006,137.89832313600002,735.617857203216,153.96,0.5494489091003009
1607.4804528000002,12.759869068389522,84.0,219.99935891368762,145.3682323008,735.617857203216,,0.5148948047656535
1607.9791344000002,14.17985449763036,84.0,209.99938805397454,141.2382825216,735.617857203216,,0.5198096041205301
1608.4810968000002,13.759858807291522,84.0,219.99935891368762,148.4781944832,735.617857203216,149.34,0.5148623276805107
1608.9797784,13.309863424785622,84.0,219.99935891368762,140.7282887232,735.617857203216,,0.5329683554684316
1609.4817408000001,13.619860243845242,84.0,179.99947547483524,138.81831194880002,735.617857203216,,0.4639565464423536
1609.9804224000002,13.449861988231898,84.0,169.99950461512225,143.33825698560003,735.617857203216,161.65,0.4327830703610023
1610.479104,13.669859730790341,84.0,189.9994463345484,142.8282631872,735.617857203216,,0.4734113632752371
1610.9810664000001,12.879867837057759,84.0,179.99947547483524,138.49831584,735.617857203216,150.88,0.45848286955478856
1611.4797480000002,13.759858807291522,84.0,179.99947547483524,139.15830781440002,735.617857203216,,0.4642931850308281
1611.9817104,14.039855934184082,84.0,159.9995337554091,142.32826926720003,735.617857203216,146.26,0.4211723149831839
1612.4803920000002,13.96985665246094,84.0,169.99950461512225,137.74832496,735.617857203216,,0.450126738029232
1612.9790736,13.039866195282082,84.0,169.99950461512225,138.7583126784,735.617857203216,146.26,0.4398224135336796
1613.4810360000001,13.609860346456221,84.0,159.9995337554091,140.4182924928,735.617857203216,,0.4216323908783043
1613.9797176000002,13.6998594229574,84.0,119.99965031655681,138.45831632640002,735.617857203216,,0.3491072995874583
1614.48168,13.27986373261856,84.0,9.999970859712999,135.0383579136,735.617857203216,155.49,0.1325731428596476
1625.980884,10.40989318196982,84.0,9.999970859712999,130.8684086208,735.617857203216,144.72,0.10885621750364496
1626.4795656000001,9.9498979020749,84.0,9.999970859712999,132.86838430080002,735.617857203216,,0.10464424207703298
1627.4802096,10.5998912323612,84.0,9.999970859712999,131.2384041216,735.617857203216,157.03,0.11041041677997142
1628.9795352,9.109906521397221,84.0,9.999970859712999,133.7783732352,735.617857203216,,0.09737958865284979
1644.9799968000002,8.61991154933524,92.9,549.998397284219,58.6692865728,745.568910414696,,2.8588443206733163
1645.4786784,3.8699602895507406,126.0,2839.991724158516,132.01839463680002,782.322800416896,,8.702898142269136
1645.9806408000002,5.93993904907788,126.0,2419.9929480505652,153.26813623680002,782.322800416896,141.64,6.413983471815762
1646.4793224,6.169936689025341,126.0,2399.9930063311376,170.67792453120003,782.322800416896,,5.719598370272543
1646.9812848,6.069937715135141,126.0,2529.9926275074063,171.3779160192,782.322800416896,146.26,6.00132418461209
1647.4799664000002,6.00993833080102,126.38,2619.992365244827,171.42791541120002,782.322800416896,,6.229248595549586
1647.978648,6.17993658641436,126.43,2569.992510946261,171.3579162624,782.322800416896,149.34,6.117659620129834
1648.4806104000002,5.7999404856316,126.05,2879.9916075973633,171.0779196672,782.322800416896,,6.8367004335052295
1648.9792920000002,6.12993709946926,126.81,2739.992015561385,171.397915776,782.322800416896,,6.536358983482045
1649.4812544,6.069937715135141,126.0,2829.9917532987984,171.42791541120002,782.322800416896,152.42,6.7048956004152025
1649.9799360000002,6.769930532366541,126.43,2729.9920447016675,168.5379505536,782.322800416896,,6.608068020589597
1650.4786176,6.17993658641436,126.86,2949.9914036153564,164.697997248,782.322800416896,141.64,7.320623870329159
1650.9805800000001,6.0799376125241595,126.77,2879.9916075973633,164.21800308480002,782.322800416896,,7.1630013294163755
1651.4792616000002,6.3999343289728,127.0,2769.9919281405228,164.43800040960002,782.322800416896,147.8,6.89734200003924
1651.9812239999999,6.05993781774612,126.27,2559.9925400865513,164.19800332800003,782.322800416896,,6.348509362794163
1652.4799056000002,6.48993340547398,126.45,2879.9916075973633,164.44800028800003,782.322800416896,,7.138608069114419
1652.9785872,6.27993556030456,126.55,3089.9909956513425,164.0580050304,782.322800416896,152.42,7.6774259109384175
1653.4805496000001,5.709941409130421,126.33,3399.9900923024443,164.25800259840003,782.322800416896,,8.412690852699578
1653.9792312000002,5.9599388438559195,126.41,3059.9910830722047,164.4180006528,782.322800416896,140.1,7.575824647962008
1654.4811936,5.7499409986865,126.45,2899.9915493167914,164.4080007744,782.322800416896,,7.183256056497865
1654.9798752000002,5.8999394595218,126.36,2859.9916658779434,164.1580038144,782.322800416896,144.72,7.091822029897792
1655.4785568000002,5.88993956213278,126.27,2999.9912579139223,164.148003936,782.322800416896,,7.431627499118933
1655.9805192000001,5.96993874124494,126.09,3119.9909082304807,164.46800004480002,782.322800416896,,7.701713556124489
1656.4792008000002,6.05993781774612,126.36,3359.9902088635968,164.44800028800003,782.322800416896,149.34,8.3096681859121
1656.9811632,6.25993576552652,126.45,3199.9906751081835,164.18800344960002,782.322800416896,,7.936180252963901
1657.4798448000001,5.6499420247963,126.23,3359.9902088635968,164.49799968000002,782.322800416896,146.26,8.295185815370273
1657.9785264000002,5.339945205736681,126.14,3189.990704248473,164.348001504,782.322800416896,,7.876842688527825
1658.4804888,5.499943563961,126.14,3139.9908499499074,164.25800259840003,782.322800416896,,7.759672637217234
1658.9791704000002,5.9299391516888615,126.32,2819.9917824390877,164.1280041792,782.322800416896,144.72,6.9926611471485005
